,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
0,117.37,118.62,112.0,116.56,38.6179,26614200.0,0.0,1.0
1,113.56,117.12,112.25,112.62,37.3125,27059500.0,0.0,1.0
2,111.12,116.37,109.37,113.81,37.7068,32029800.0,0.0,1.0
3,112.19,113.87,108.37,110.0,36.4445,27488300.0,0.0,1.0
4,108.62,112.25,107.31,111.44,36.9216,31006800.0,0.0,1.0
5,113.44,113.69,111.37,112.25,37.1899,22481800.0,0.0,1.0
6,111.5,114.25,108.69,109.37,36.2357,23371800.0,0.0,1.0
7,108.5,108.87,104.44,105.81,35.0563,33266200.0,0.0,1.0
8,104.37,108.62,101.5,107.81,35.7189,41572000.0,0.0,1.0
9,107.19,113.94,105.75,112.25,37.1899,36708200.0,0.0,1.0
10,111.81,116.5,111.75,115.31,38.2037,40741800.0,0.0,1.0
11,110.5,111.5,106.0,107.0,35.4505,48784100.0,0.0,1.0
12,107.06,109.69,105.87,106.0,35.1192,28174900.0,0.0,1.0
13,107.0,107.25,103.25,103.75,34.3738,34208100.0,0.0,1.0
14,103.8,105.69,100.81,101.25,33.5455,31798800.0,0.0,1.0
15,101.0,103.87,99.56,102.81,34.0623,29911600.0,0.0,1.0
16,102.44,103.5,99.12,99.37,32.9226,24682500.0,0.0,1.0
17,99.89,101.19,97.25,98.75,32.7172,31827400.0,0.0,1.0
18,98.12,100.25,97.25,98.25,32.5515,29112700.0,0.0,1.0
19,97.62,98.19,94.87,97.87,32.4256,36597100.0,0.0,1.0
20,98.5,103.25,97.69,102.94,34.1054,35098300.0,0.0,1.0
21,102.44,103.94,100.5,100.81,33.3997,24957800.0,0.0,1.0
22,102.06,104.19,100.12,103.62,34.3307,24593000.0,0.0,1.0
23,104.37,108.0,104.14,106.56,35.3047,27682700.0,0.0,1.0
24,106.81,106.87,104.25,106.62,35.3246,20002900.0,0.0,1.0
25,106.44,110.0,106.44,109.94,36.4246,28114500.0,0.0,1.0
26,109.44,109.44,103.87,104.0,34.4566,27545000.0,0.0,1.0
27,103.89,106.56,102.5,106.0,35.1192,27263900.0,0.0,1.0
28,104.87,104.87,99.12,99.94,33.1114,57779500.0,0.0,1.0
29,101.23,101.75,99.06,99.62,33.0054,40514300.0,0.0,1.0
30,99.75,100.0,98.12,98.56,32.6542,35513800.0,0.0,1.0
31,99.25,100.19,97.12,97.62,32.3428,32601300.0,0.0,1.0
32,98.5,99.69,97.14,99.62,33.0054,40171700.0,0.0,1.0
33,100.0,100.06,94.87,95.06,31.4946,39531500.0,0.0,1.0
34,95.12,97.12,92.81,93.81,31.0805,33148100.0,0.0,1.0
35,93.5,95.75,92.06,94.25,31.2263,37923600.0,0.0,1.0
36,94.25,95.87,92.0,94.75,31.3919,34866600.0,0.0,1.0
37,94.69,94.7,90.5,91.31,30.2522,32650700.0,0.0,1.0
38,90.25,92.12,88.12,91.56,30.335,38065900.0,0.0,1.0
39,91.75,91.75,88.87,89.37,29.6095,29218700.0,0.0,1.0
40,89.62,94.09,88.94,90.81,30.0866,53444900.0,0.0,1.0
41,91.81,95.37,91.12,93.37,30.9347,53466300.0,0.0,1.0
42,94.75,98.87,93.87,96.12,31.8458,50717600.0,0.0,1.0
43,96.0,97.37,90.12,90.62,30.0236,46804700.0,0.0,1.0
44,96.12,97.5,91.94,92.87,30.7691,67530500.0,0.0,1.0
45,93.81,96.19,91.0,95.56,31.6603,47145000.0,0.0,1.0
46,95.31,100.0,95.0,100.0,33.1313,44099400.0,0.0,1.0
47,99.56,102.5,99.5,101.0,33.4626,42794500.0,0.0,1.0
48,97.62,100.25,97.5,98.0,32.4687,30915900.0,0.0,1.0
49,98.62,99.25,95.12,95.12,31.5145,36744600.0,0.0,1.0
50,94.56,96.62,93.69,95.37,31.5973,26604000.0,0.0,1.0
51,95.94,96.69,93.25,95.37,31.5973,38650400.0,0.0,1.0
52,95.25,99.5,94.5,99.37,32.9226,40580800.0,0.0,1.0
53,98.75,99.75,96.5,97.37,32.26,23886500.0,0.0,1.0
54,96.75,103.12,96.5,102.75,34.0424,40824400.0,0.0,1.0
55,102.81,105.62,101.12,103.25,34.2081,46987900.0,0.0,1.0
56,106.81,112.87,106.62,111.87,37.064,74112000.0,0.0,1.0
57,112.62,115.0,109.56,111.69,37.0044,56098400.0,0.0,1.0
58,107.77,108.25,103.94,104.06,34.4765,55717000.0,0.0,1.0
59,103.62,107.44,102.37,104.31,34.5593,40557200.0,0.0,1.0
60,105.19,108.94,105.12,107.19,35.5135,32181900.0,0.0,1.0
61,106.19,108.62,102.5,103.37,34.2479,32089200.0,0.0,1.0
62,106.0,108.25,104.12,106.25,35.202,32140700.0,0.0,1.0
